ref id,title,exact date,mint date,compressed,image,marketplace,available,burned,high res image,detail page,contract,series,category,chain,type,total qty,metadata,notes,exhibited,description
20,Sad Clown (for SBF),12/12/2022,December 2022,https://i.seadn.io/gcs/files/f6e875c22059dcfdb4cf45dc422c19d3.jpg?auto=format&dpr=1&w=640,,https://opensea.io/assets/ethereum/0xd410f741eb6f1f26796dc7629c2cf039ff975fdd/19,,No,,,TheBenMeadows (Acheiropoieta),,ai-assisted,ethereum,1 of 1,1,arweave,,,
21,The Collector,12/15/2022,December 2022,https://i.seadn.io/gcs/files/36667737ea5511667bd247b302258893.jpg?auto=format&dpr=1&w=640,,https://opensea.io/assets/ethereum/0xd410f741eb6f1f26796dc7629c2cf039ff975fdd/20,,No,,,TheBenMeadows (Acheiropoieta),,ai-assisted,ethereum,1 of 1,1,arweave,,,
22,The Barry Who Stole Christmas,12/23/2022,December 2022,https://i.seadn.io/gcs/files/b5d427b01730a6b7f7aefc04e5e6f2e8.jpg?auto=format&dpr=1&w=640,,https://opensea.io/assets/ethereum/0xd410f741eb6f1f26796dc7629c2cf039ff975fdd/21,,No,,,TheBenMeadows (Acheiropoieta),,ai-assisted,ethereum,1 of 1,1,arweave,,,
23,North of Eden,1/1/2023,January 2023,https://i.seadn.io/gcs/files/c8d3f7d5c4b248af616829307aa64a62.jpg?auto=format&dpr=1&w=512,https://arweave.net/W3dQcmkUYetDpWy2ETh-sgAAX06DQ6E9MCvx-2TNmjQ,https://opensea.io/assets/ethereum/0x93ad4670d8dd9fc3987eb296315827c3d138adea/1,,No,,,TheBenMeadows Photography,2 Decades & Counting,photography,ethereum,1 of 1,1,arweave,,"Paris, France",
24,Fēstra,1/1/2023,January 2023,https://assets.raribleuserdata.com/prod/v1/image/t_image_preview/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1Qa3pkQmRYaGRiajNWUG9LYTRlVzF5SGNHR1pCWDV3VTRXcFFxRjJmaW9ocg==,https://ipfs.io/ipfs/QmPkzdBdXhdbj3VPoKa4eW1yHcGGZBX5wU4WpQqF2fiohr,https://objkt.com/asset/KT1JW7AcGP76w1r7wnWGtA5HwWS7i4ugqGZr/0,,No,,,Rule of Four,Rule of Four,"conceptual, abstract",tezos,Edition,10,ipfs,,,
25,Pulveris,1/2/2023,January 2023,https://pbs.twimg.com/media/FlfZxaUakAATH_g?format=jpg&name=medium,https://ipfs.io/ipfs/QmY5g5WGirvfesCKNQXS2PQFqRywx7qeudGc2dRFHP5DZM,https://objkt.com/asset/KT1JW7AcGP76w1r7wnWGtA5HwWS7i4ugqGZr/1,,No,,,Rule of Four,Rule of Four,"conceptual, abstract",tezos,Edition,8,ipfs,,,
26,Inānis,1/3/2023,January 2023,https://assets.raribleuserdata.com/prod/v1/image/t_image_preview/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1OYkpWZXB1eEQ0WmNwQ2paQzZBdVQ1dFN0eHc1RlR0eTNRN0JaNlJuZFBaTQ==,https://ipfs.io/ipfs/QmNbJVepuxD4ZcpCjZC6AuT5tStxw5FTty3Q7BZ6RndPZM,https://objkt.com/asset/KT1JW7AcGP76w1r7wnWGtA5HwWS7i4ugqGZr/2,,No,,,Rule of Four,Rule of Four,"conceptual, abstract",tezos,Edition,4,ipfs,,,
27,Inquinō,1/4/2023,January 2023,https://assets.raribleuserdata.com/prod/v1/image/t_image_preview/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1icnJtN21FcFJ3UkhleTgxRjFCaHVrWXpTMkJaWWdpMjZud2Z1YkdmenFqRg==,https://ipfs.io/ipfs/Qmbrrm7mEpRwRHey81F1BhukYzS2BZYgi26nwfubGfzqjF,https://objkt.com/asset/KT1JW7AcGP76w1r7wnWGtA5HwWS7i4ugqGZr/3,,No,,,Rule of Four,Rule of Four,"conceptual, abstract",tezos,Edition,3,ipfs,,,
28,Nūbēs,1/5/2023,January 2023,https://assets.raribleuserdata.com/prod/v1/image/t_image_preview/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1hUkFkSEJ0UjdlTktHZUY1TVhoaTVxTW50UzdteEpYeDFuUDg0VUdNczkzWg==,https://ipfs.io/ipfs/QmaRAdHBtR7eNKGeF5MXhi5qMntS7mxJXx1nP84UGMs93Z,https://objkt.com/asset/KT1JW7AcGP76w1r7wnWGtA5HwWS7i4ugqGZr/4,,No,,,Rule of Four,Rule of Four,"conceptual, abstract",tezos,Edition,2,ipfs,,,
29,I Am a Strange Loop,1/12/2023,January 2023,https://i.seadn.io/gcs/files/3456ea00952ece905e3e379f87cb8036.png?auto=format&dpr=1&w=640,,https://opensea.io/assets/ethereum/0xd410f741eb6f1f26796dc7629c2cf039ff975fdd/22,,No,,,TheBenMeadows (Acheiropoieta),,ai-assisted,ethereum,1 of 1,1,arweave,,,
